simname,binave,mbias,merr,cbias,cerr
basicCenter,25.5,-0.0001713746033283013,0.0,8.169419035799759e-08,0.0
basicCenter,24.9,-0.00011649697861995194,0.0,1.1150937709888087e-07,0.0
basicCenter,24.3,-0.00025586867913839073,0.0,1.374433004697457e-07,0.0
basicCenter,23.7,-0.0002960347918008986,0.0,1.9188004924982947e-07,0.0
basicCenter,23.1,-0.00032540471664339415,0.0,2.4813347646631683e-07,0.0
basicCenter,22.5,-0.0003691230622754801,0.0,3.386573710381324e-07,0.0
