simname,binave,mbias,merr,cbias,cerr
cosmo085,25.5,-1.783677618532453,0.0,6.149035526174028e-07,0.0
cosmo085,24.9,-1.787445631997611,0.0,6.233340518019712e-07,0.0
cosmo085,24.3,-1.904879002203708,0.0,8.310819169532925e-07,0.0
cosmo085,23.7,-2.5748615740899417,0.0,1.1215804525593293e-06,0.0
cosmo085,23.1,-2.9587622871555035,0.0,4.605742129664941e-07,0.0
cosmo085,22.5,-4.895079722938105,0.0,4.026109659159117e-07,0.0
